"","IDtrappola","CattSiNo","Ncatture","Animalidiversi","Noccasioni","Esp","Incl","Alt","copveg","NSpecie","media.rocce","mediana.rocce","sd.rocce","Esp.tr"
"33",33,1,2,2,15,58,25,2714,40,19,89.3333333333333,89,15.502687938978,58
"34",34,1,3,2,15,38,21,2717,10,17,80.3333333333333,61,37.8989885529064,38
"35",35,1,2,2,15,358,26,2716,5,5,162,205,85.0823130856231,-2
"36",36,0,0,0,14,343,18,2716,5,12,81.6666666666667,84,23.5867194271127,-17
"37",37,0,0,0,15,320,15,2718,0,2,73,54,46.5080638169339,-40
"38",38,1,1,1,14,351,13,2719,0,2,148.333333333333,93,125.508299858349,-9
"39",39,1,1,1,15,343,20,2717,25,15,69.3333333333333,67,10.6926766215636,-17
"40",40,1,1,1,15,324,24,2717,10,13,95,88,46.8934963507734,-36
"41",41,0,0,0,15,328,21,2719,60,32,92,84,44.5421149026402,-32
"42",42,1,3,3,15,320,23,2718,0,0,72.3333333333333,67,33.3216646242851,-40
"43",43,1,1,1,15,332,20,2717,0,4,109.333333333333,68,93.1522051984457,-28
"44",44,0,0,0,15,308,18,2722,35,17,81,78,25.6320112359526,-52
"45",45,1,1,1,15,343,7,2723,70,20,45.6666666666667,45,21.007935008785,-17
"46",46,0,0,0,15,308,12,2724,25,21,103,86,81.8352002502591,-52
"47",47,0,0,0,15,318,0,2725,20,14,109,105,76.0789064064409,-42
"48",48,0,0,0,15,348,8,2725,60,25,51,37,24.2487113059643,-12
"49",49,0,0,0,15,349,20,2724,10,13,63,68,8.66025403784439,-11
"50",50,0,0,0,15,328,18,2728,50,17,101.333333333333,48,97.6183042944987,-32
"51",51,0,0,0,8,350,10,2729,25,25,61.3333333333333,70,17.6729548557487,-10
"52",52,0,0,0,8,316,8,2728,75,23,115,60,97,-44
"53",53,0,0,0,8,2,2,2728,80,28,33.3333333333333,28,28.3783955383904,2
"54",54,0,0,0,8,252,6,2728,45,14,48.6666666666667,35,36.4737348421207,-108
"55",55,1,2,2,8,259,9,2729,5,9,81.6666666666667,66,65.9115569026657,-101
"56",56,0,0,0,8,56,9,2728,25,16,70.3333333333333,91,41.1015003781289,56
"57",57,0,0,0,8,352,11,2728,29,14,60.6666666666667,57,17.7857620959388,-8
"58",58,0,0,0,8,350,8,2733,10,11,98.6666666666667,53,90.5888146149034,-10
"59",59,0,0,0,8,350,5,2727,25,14,55,47,30.7896086366813,-10
"60",60,0,0,0,8,2,22,2727,5,8,111,104,14.7986485869487,2
"61",61,1,2,2,7,20,27,2728,0,4,42,40,10.1488915650922,20
"62",62,0,0,0,8,18,30,2731,25,12,50.6666666666667,60,17.925772879665,18
"63",63,0,0,0,8,323,30,2738,10,14,130.666666666667,102,109.842311216276,-37
"64",64,1,1,1,8,12,18,2731,0,7,90.3333333333333,97,44.3771713083803,12
"65",65,0,0,0,7,13,7,2735,5,2,152.666666666667,99,121.722361681547,13
"66",66,1,1,1,7,11,29,2737,15,14,78.3333333333333,75,59.0705792534095,11
"67",67,1,1,1,8,19,38,2735,10,13,66.6666666666667,77,23.2880512996114,19
"68",68,0,0,0,7,13,17,2734,15,10,85.3333333333333,71,36.6651514838454,13
"69",69,0,0,0,8,12,11,2733,5,8,79.3333333333333,75,15.9478316185409,12
"70",70,0,0,0,8,358,2,2732,0,2,125.333333333333,96,71.6542624924249,-2
"71",71,0,0,0,8,43,20,2740,5,7,75.3333333333333,71,36.6924152016917,43
"72",72,0,0,0,8,19,12,2741,15,11,113,53,118.94956914592,19
"73",73,0,0,0,8,19,20,2742,40,12,133,87,127.389167514353,19
"74",74,0,0,0,8,30,10,2737,25,12,111,46,117.817655722731,30
"75",75,0,0,0,8,26,20,2744,0,3,84,48,72.0902212508742,26
