animal_id;capture_id;data;dawn;occasion;trap_id;chip;recapture;furmark;weight_g;sex;age;repr_status;footlength_mm;year;month;DOY;session;notes
49;78;30/08/2015;TRUE;6;70;NA;N;NA;19;M;G;NR;19;2015;8;241;II;
6;79;30/08/2015;TRUE;6;19;1313807;R;NA;29;F;A;R;17;2015;8;241;II;
8;80;30/08/2015;TRUE;6;65;1314106;R;NA;NA;M;A;R;17;2015;8;241;II;MORTO
10;81;30/08/2015;TRUE;6;64;1315457;R;A/B;21;F;A;NR;18;2015;8;241;II;
11;82;30/08/2015;TRUE;6;74;1313979;R;NA;38;M;A;R;19;2015;8;241;II;
50;83;30/08/2015;TRUE;6;67;1313222;N;NA;25;M;A;NR;18;2015;8;241;II;
9;84;30/08/2015;TRUE;6;28;1312250;R;A/E;28;M;A;NR;20;2015;8;241;II;
3;85;30/08/2015;TRUE;6;35;1314691;R;F;38;F;A;NR;18;2015;8;241;II;MORTO
12;86;30/08/2015;TRUE;6;34;1315467;N;NA;30;F;A;NR;19;2015;8;241;II;
6;87;30/08/2015;FALSE;7;9;1313807;R;NA;31;F;A;R;17;2015;8;241;II;
7;88;30/08/2015;FALSE;7;14;1314797;R;NA;23;M;G;NR;18;2015;8;241;II;
51;89;30/08/2015;FALSE;7;70;NA;N;NA;20;NA;G;NR;18;2015;8;241;II;
9;90;30/08/2015;FALSE;7;35;1312250;R;A/E;35;M;A;NR;20;2015;8;241;II;
9;91;31/08/2015;TRUE;8;37;1312250;R;A/E;38;M;A;NR;20;2015;8;242;II;
12;92;31/08/2015;TRUE;8;35;1315467;R;NA;28;F;A;NR;19;2015;8;242;II;
7;93;31/08/2015;TRUE;8;14;1314797;R;NA;24;M;G;NR;18;2015;8;242;II;
5;94;31/08/2015;TRUE;8;55;1315304;R;B;NA;M;A;R;20;2015;8;242;II;RIANIMATO
10;95;31/08/2015;TRUE;8;60;1315457;R;A/B;27;F;A;NR;18;2015;8;242;II;
11;96;31/08/2015;TRUE;8;64;1313979;R;NA;38;M;A;R;19;2015;8;242;II;
52;97;31/08/2015;TRUE;8;68;NA;N;NA;21;NA;G;NR;18;2015;8;242;II;
53;98;31/08/2015;TRUE;8;74;NA;N;NA;18;NA;G;NR;18;2015;8;242;II;
5;99;31/08/2015;FALSE;9;55;1315304;R;B;37;M;A;R;20;2015;8;242;II;
7;100;31/08/2015;FALSE;9;19;1314797;R;NA;23;M;G;NR;18;2015;8;242;II;
54;101;31/08/2015;FALSE;9;56;NA;N;NA;20;NA;G;NR;17;2015;8;242;II;
55;102;31/08/2015;FALSE;9;72;NA;N;NA;19;NA;G;NR;78;2015;8;242;II;
11;103;31/08/2015;FALSE;9;65;1313979;R;NA;NA;M;A;R;19;2015;8;242;II;MORTO
56;104;31/08/2015;FALSE;9;49;NA;N;NA;NA;NA;G;NA;NA;2015;8;242;II;SCAPPATO
9;105;31/08/2015;FALSE;9;31;1312250;R;A/E;26;M;A;NR;20;2015;8;242;II;
57;106;31/08/2015;FALSE;9;15;NA;N;NA;NA;NA;G;NR;NA;2015;8;242;II;
10;107;31/08/2015;FALSE;9;64;1315457;R;A/B;NA;F;A;NR;18;2015;8;242;II;DIMENTICATO, TROVATO MORTO GIORNO DOPO
6;108;03/09/2015;TRUE;14;8;1313807;R;NA;25;F;A;R;17;2015;9;245;II;
7;109;03/09/2015;TRUE;14;11;1314797;R;NA;27;M;G;NR;18;2015;9;245;II;
58;110;03/09/2015;TRUE;14;14;NA;N;NA;20;F;G;NR;16;2015;9;245;II;
59;111;03/09/2015;TRUE;14;72;NA;N;NA;22;M;G;NR;19;2015;9;245;II;
13;112;03/09/2015;TRUE;14;69;1314269;R;NA;36;M;A;NR;19;2015;9;245;II;
60;113;03/09/2015;TRUE;14;60;NA;N;NA;NA;NA;G;NR;NA;2015;9;245;II;RIANIMATO
12;114;03/09/2015;TRUE;14;33;1315467;R;NA;27;F;A;NR;19;2015;9;245;II;
9;115;03/09/2015;TRUE;14;35;1312250;R;A/E;28;M;A;NR;20;2015;9;245;II;
6;116;03/09/2015;TRUE;14;46;1313807;R;NA;25;F;A;R;17;2015;9;245;II;ORE 12.00, SECONDO GIRO PER CONTROLLO
7;117;03/09/2015;TRUE;14;19;1314797;R;NA;27;M;G;NR;18;2015;9;245;II;ORE 12.00, SECONDO GIRO PER CONTROLLO
61;118;03/09/2015;TRUE;14;3;NA;N;NA;18;NA;G;NR;18;2015;9;245;II;ORE 12.00, SECONDO GIRO PER CONTROLLO
62;119;04/09/2015;FALSE;17;3;NA;N;NA;17;NA;G;NR;NA;2015;9;246;II;
7;120;04/09/2015;FALSE;17;14;1314797;R;NA;27;M;G;NR;18;2015;9;246;II;
6;121;04/09/2015;FALSE;17;18;1313807;R;NA;29;F;A;R;17;2015;9;246;II;
13;122;04/09/2015;FALSE;17;43;1314269;R;NA;37;M;A;NR;19;2015;9;246;II;
63;123;05/09/2015;FALSE;19;15;NA;N;NA;23;NA;G;NR;18;2015;9;247;II;
64;124;05/09/2015;FALSE;19;42;NA;N;NA;18;NA;G;NR;18;2015;9;247;II;
13;125;05/09/2015;FALSE;19;43;1314269;R;NA;38;M;A;NR;19;2015;9;247;II;
7;126;06/09/2015;FALSE;21;14;1314797;R;NA;25;M;G;NR;18;2015;9;248;II;
65;127;06/09/2015;FALSE;21;18;NA;N;NA;29;M;A;NR;NA;2015;9;248;II;
66;128;06/09/2015;FALSE;21;23;NA;N;NA;19;NA;G;NR;19;2015;9;248;II;
9;129;06/09/2015;FALSE;21;35;1312250;R;A/E;29;M;A;NR;20;2015;9;248;II;
12;130;06/09/2015;FALSE;21;34;1315467;R;NA;25;F;A;NR;19;2015;9;248;II;
67;131;07/09/2015;FALSE;23;23;NA;N;NA;19;NA;G;NR;NA;2015;9;249;II;
68;132;07/09/2015;FALSE;23;9;NA;N;NA;30;NA;A;NA;NA;2015;9;249;II;
7;133;07/09/2015;FALSE;23;12;1314797;R;NA;27;M;G;NR;18;2015;9;249;II;
